date,close,change%,open,volume
2017-07-07,0.23948,-6.035,0.254858,88408000.0
2017-07-06,0.254641,-0.675,0.256374,43845800.0
2017-07-05,0.256523,0.549,0.255125,73292096.0
2017-07-04,0.254709,-1.974,0.259841,56008900.0
2017-07-03,0.259959,0.378,0.258977,60367800.0
2017-07-02,0.259449,1.941,0.254512,54095000.0
2017-07-01,0.254744,-3.085,0.262855,53611000.0
2017-06-30,0.26293,-1.176,0.26606,67764496.0
2017-06-29,0.265421,-5.396,0.280565,89745296.0
2017-06-28,0.280455,1.837,0.275391,126278000.0
2017-06-27,0.276306,-0.353,0.277288,186951008.0
2017-06-26,0.277288,-7.189,0.29877,280100000.0
2017-06-25,0.298423,-3.986,0.310816,158844992.0
2017-06-24,0.31111,-2.531,0.319188,313710016.0
2017-06-23,0.319978,7.477,0.297718,177220992.0
2017-06-22,0.297848,-0.68,0.299886,194551008.0
2017-06-21,0.296366,-8.705,0.324623,358492992.0
2017-06-20,0.324427,11.03,0.292194,793609984.0
2017-06-19,0.296068,4.257,0.283977,164955008.0
2017-06-18,0.2846,6.162,0.268085,232512000.0
2017-06-17,0.268351,2.283,0.262358,121948000.0
2017-06-16,0.262068,1.002,0.259473,88152400.0
2017-06-15,0.259266,-6.805,0.278196,191548000.0
2017-06-14,0.278447,4.748,0.265823,431096000.0
2017-06-13,0.266153,4.858,0.253823,111937000.0
2017-06-12,0.253964,-6.998,0.273075,149942000.0
2017-06-11,0.272759,5.13,0.259445,114566000.0
2017-06-10,0.260874,-8.723,0.285806,156720992.0
2017-06-09,0.286019,-1.27,0.289695,102482000.0
2017-06-08,0.289678,3.126,0.280902,103152000.0
2017-06-07,0.279783,-1.718,0.284677,145839008.0
2017-06-06,0.284548,-3.224,0.294028,132720000.0
2017-06-05,0.294003,-1.954,0.299862,78433504.0
2017-06-04,0.299413,0.345,0.298386,153488000.0
2017-06-03,0.29458,-1.957,0.30046,155454000.0
2017-06-02,0.303448,-9.052,0.333645,293676992.0
2017-06-01,0.333657,36.775,0.243946,588819008.0
2017-05-31,0.24659,20.077,0.20536,160620000.0
2017-05-30,0.205324,-11.572,0.232191,92808704.0
2017-05-29,0.23207,2.148,0.227189,86555600.0
2017-05-28,0.229554,7.83,0.212887,122253000.0
2017-05-27,0.212549,-22.057,0.272697,255532000.0
2017-05-26,0.271808,10.907,0.245083,253935008.0
2017-05-25,0.246065,-15.684,0.291834,237804992.0
2017-05-24,0.29589,-8.971,0.325054,166168000.0
2017-05-23,0.323368,3.198,0.313347,153050000.0
2017-05-22,0.317954,-6.043,0.338403,265699008.0
2017-05-21,0.336201,-4.802,0.353164,129765000.0
2017-05-20,0.351634,6.999,0.328631,237792000.0
2017-05-19,0.327801,-9.821,0.363505,269894016.0
2017-05-18,0.364869,-7.611,0.394931,237644000.0
2017-05-17,0.394132,10.985,0.355124,470974016.0
2017-05-16,0.349861,29.664,0.269824,440881984.0
2017-05-15,0.27072,23.016,0.220069,223923008.0
2017-05-14,0.220223,2.342,0.215179,69732000.0
2017-05-13,0.214878,3.957,0.206697,117101000.0
2017-05-12,0.206068,12.754,0.18276,123635000.0
2017-05-11,0.183135,-1.027,0.185035,103699000.0
2017-05-10,0.186066,17.416,0.158471,138792000.0
2017-05-09,0.160074,-19.639,0.199198,214002000.0
2017-05-08,0.198212,39.959,0.14162,402611008.0
2017-05-07,0.141763,39.076,0.101929,249028992.0
2017-05-06,0.101791,8.948,0.093429,88394200.0
2017-05-05,0.093551,16.602,0.080229,184430000.0
2017-05-04,0.078914,29.233,0.061062,153374000.0
2017-05-03,0.06049,12.225,0.053905,42869000.0
2017-05-02,0.053908,-1.354,0.054646,33814700.0
2017-05-01,0.055115,6.844,0.05158,61730100.0
2017-04-30,0.051607,-2.272,0.052807,41974200.0
2017-04-29,0.052868,18.65,0.044558,114359000.0
